supplier_ids,id,product_code,product_name,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category
1,sdv-id-DjWcWV,NWTCFV-90,Northwind Traders Cherry Pie Filling,7.9463,1.33,10,37,,0,,"Jams, Preserves"
8,sdv-id-YFwDje,NWTB-87,Northwind Traders Cake Mix,7.8468,9.59,10,115,,0,,Canned Fruit & Vegetables
1,sdv-id-rukOEb,NWTS-66,Northwind Traders Coffee,13.9167,9.83,10,34,,0,,Sauces
1,sdv-id-ZjPBrf,NWTC-82,Northwind Traders Potato Chips,1.3372,1.3,10,195,32 - 8 oz bottles,0,11.0,Baked Goods & Mixes
1,sdv-id-UTtCpw,NWTC-82,Northwind Traders Pears,5.9702,1.51,12,187,1 lb bag,0,11.0,Cereal
2;6,sdv-id-ApJOZa,NWTCFV-17,Northwind Traders Scones,12.4261,27.11,10,108,10 boxes x 20 bags,0,,Beverages
2,sdv-id-YDpccy,NWTP-57,Northwind Traders Gnocchi,8.4318,7.09,17,115,30 gift boxes,0,,Condiments
7,sdv-id-ZRJFBM,NWTCM-95,Northwind Traders Hot Cereal,31.9345,77.35,15,144,5 oz,0,,Baked Goods & Mixes
6,sdv-id-ZSRPMJ,NWTDFN-80,Northwind Traders Dried Plums,5.136,15.17,12,136,24 - 200 g pkgs.,0,,"Jams, Preserves"
9,sdv-id-TGIscL,NWTCFV-91,Northwind Traders Pineapple,1.0625,1.2,29,121,14.5 OZ,0,,Canned Fruit & Vegetables
5,sdv-id-Tenrkq,NWTBGM-21,Northwind Traders Scones,10.6076,5.28,11,114,12 boxes,0,,Canned Meat
6,sdv-id-tVhQTx,NWTB-34,Northwind Traders Scones,54.4831,66.57,52,179,24 - 250 g pkgs.,0,,Canned Fruit & Vegetables
6,sdv-id-zhnPQL,NWTSO-99,Northwind Traders Chicken Soup,1.0447,1.56,20,140,5 oz,0,,Canned Meat
2;6,sdv-id-kiyMss,NWTDFN-7,Northwind Traders Curry Sauce,32.3006,81.0,10,161,40 - 100 g pkgs.,0,,Canned Fruit & Vegetables
2,sdv-id-TrdORb,NWTBGM-85,Northwind Traders Brownie Mix,1.0562,1.33,10,101,15.25 OZ,0,,Soups
4,sdv-id-hcazJw,NWTDFN-7,Northwind Traders Curry Sauce,25.4534,12.04,10,34,,0,,Beverages
1,sdv-id-ILGfXt,NWTBGM-19,Northwind Traders Marmalade,10.756,24.72,10,184,,0,,Canned Fruit & Vegetables
10,sdv-id-bFBNOf,NWTB-87,Northwind Traders Cake Mix,4.3909,6.9,10,117,,0,,Sauces
